2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H1 data for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for GBPUSD H1: 0.62
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H4 data for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for GBPUSD H4: 0.59
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:241 |   Multi-TF: 1500 total candles in 0.08s
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:203 | Testing multi-TF fetch for USDJPY
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching M15 data for USDJPY
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for USDJPY M15: 0.62
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H1 data for USDJPY
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for USDJPY H1: 0.62
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H4 data for USDJPY
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for USDJPY H4: 0.59
2025-08-06 22:24:08 | INFO     | __main__:_test_multi_timeframe_fetching:241 |   Multi-TF: 1500 total candles in 0.07s
2025-08-06 22:24:08 | SUCCESS  | __main__:_test_multi_timeframe_fetching:251 | Multi-timeframe tests completed
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:256 | Testing data validation...
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:262 | Validating data for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 100 candles for EURUSD
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:288 |   EURUSD: Valid=True, Quality=0.950
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:262 | Validating data for GBPUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 100 candles for GBPUSD
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:288 |   GBPUSD: Valid=True, Quality=1.000
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:299 | Testing validation with invalid data...
2025-08-06 22:24:08 | INFO     | __main__:_test_data_validation:322 | Invalid data test: Errors=2, Quality=0.490
2025-08-06 22:24:08 | SUCCESS  | __main__:_test_data_validation:328 | Data validation tests completed
2025-08-06 22:24:08 | INFO     | __main__:_test_data_preprocessing:333 | Testing data preprocessing...
